0,1,2,3,4,5,6,7,Sheet,Month,Year
2025-12-01 00:00:00,Monday,08:25:00,17:02:00,08:10:00,17:09:00,08:42:00,17:08:00,December 2025,December,2025
2025-12-02 00:00:00,Tuesday,08:28:00,17:01:00,08:17:00,17:02:00,08:38:00,17:02:00,December 2025,December,2025
2025-12-03 00:00:00,Wednesday,08:41:00,05:15:00,08:13:00,17:33:00,08:30:00,17:29:00,December 2025,December,2025
2025-12-04 00:00:00,Thursday,08:28:00,17:11:00,08:15:00,17:12:00,08:33:00,17:11:00,December 2025,December,2025
2025-12-05 00:00:00,Friday,08:39:00,,08:04:00,17:03:00,08:58:00,17:05:00,December 2025,December,2025
2025-11-01 00:00:00,Saturday,08:59:00,17:07:00,08:10:00,17:09:00,08:32:00,17:10:00,November 2025,November,2025
2025-11-02 00:00:00,Sunday,,,,,,,November 2025,November,2025
2025-11-03 00:00:00,Monday,08:28:00,17:25:00,08:08:00,17:19:00,08:43:00,17:46:00,November 2025,November,2025
2025-11-04 00:00:00,Tuesday,08:24:00,17:01:00,08:07:00,17:03:00,08:40:00,17:01:00,November 2025,November,2025
2025-11-05 00:00:00,Wednesday,08:27:00,17:14:00,08:18:00,17:17:00,08:30:00,17:18:00,November 2025,November,2025
2025-11-06 00:00:00,Thursday,08:24:00,17:15:00,08:12:00,17:20:00,08:36:00,17:21:00,November 2025,November,2025
2025-11-07 00:00:00,Friday,08:45:00,17:12:00,08:07:00,17:12:00,08:31:00,17:12:00,November 2025,November,2025
2025-11-08 00:00:00,Saturday,09:11:00,17:11:00,,,,,November 2025,November,2025
2025-11-09 00:00:00,Sunday,,,,,,,November 2025,November,2025
2025-11-10 00:00:00,Monday,08:29:00,17:14:00,08:15:00,17:14:00,08:32:00,17:16:00,November 2025,November,2025
2025-11-11 00:00:00,Tuesday,08:36:00,17:24:00,08:11:00,17:26:00,08:44:00,17:26:00,November 2025,November,2025
2025-11-12 00:00:00,Wednesday,08:23:00,17:13:00,08:09:00,17:01:00,08:44:00,17:01:00,November 2025,November,2025
2025-11-13 00:00:00,Thursday,08:11:00,17:19:00,08:05:00,17:20:00,08:43:00,17:16:00,November 2025,November,2025
2025-11-14 00:00:00,Friday,08:43:00,17:12:00,08:05:00,17:29:00,09:16:00,17:30:00,November 2025,November,2025
2025-11-15 00:00:00,Saturday,10:02:00,17:04:00,,,,,November 2025,November,2025
2025-11-16 00:00:00,Sunday,,,,,,,November 2025,November,2025
2025-11-17 00:00:00,Monday,08:24:00,16:50:00,08:06:00,17:00:00,08:35:00,17:00:00,November 2025,November,2025
2025-11-18 00:00:00,Tuesday,08:24:00,17:02:00,08:05:00,17:02:00,08:46:00,17:06:00,November 2025,November,2025
2025-11-19 00:00:00,Wednesday,08:21:00,17:09:00,08:11:00,17:06:00,08:50:00,17:06:00,November 2025,November,2025
2025-11-20 00:00:00,Thursday,08:59:00,17:04:00,08:20:00,17:02:00,08:44:00,17:03:00,November 2025,November,2025
2025-11-21 00:00:00,Friday,08:42:00,17:21:00,08:08:00,17:31:00,08:39:00,17:30:00,November 2025,November,2025
2025-11-22 00:00:00,Saturday,,,,,,,November 2025,November,2025
2025-11-23 00:00:00,Sunday,,,,,,,November 2025,November,2025
2025-11-24 00:00:00,Monday,,,08:31:00,17:32:00,09:12:00,17:37:00,November 2025,November,2025
2025-11-25 00:00:00,Tuesday,08:23:00,17:03:00,08:07:00,17:18:00,08:45:00,17:17:00,November 2025,November,2025
2025-11-26 00:00:00,Wednesday,08:23:00,17:02:00,08:04:00,17:21:00,08:48:00,17:23:00,November 2025,November,2025
2025-11-27 00:00:00,Thursday,08:23:00,17:00:00,08:11:00,17:23:00,08:40:00,17:23:00,November 2025,November,2025
2025-11-28 00:00:00,Friday,08:51:00,17:50:00,08:10:00,17:49:00,10:55:00,17:53:00,November 2025,November,2025
2025-11-29 00:00:00,Saturday,,,,,,,November 2025,November,2025
2025-11-30 00:00:00,Sunday,,,,,,,November 2025,November,2025
2025-10-01 00:00:00,Wednesday,,,,,,,October 2025,October,2025
2025-10-02 00:00:00,Thursday,,,,,,,October 2025,October,2025
2025-10-03 00:00:00,Friday,08:37:00,17:09:00,08:12:00,17:10:00,09:19:00,17:19:00,October 2025,October,2025
2025-10-04 00:00:00,Saturday,09:06:00,17:10:00,08:06:00,17:02:00,08:36:00,17:03:00,October 2025,October,2025
2025-10-05 00:00:00,Sunday,,,,,,,October 2025,October,2025
2025-10-06 00:00:00,Monday,08:15:00,17:12:00,,,08:34:00,17:13:00,October 2025,October,2025
2025-10-07 00:00:00,Tuesday,08:20:00,17:12:00,08:10:00,17:13:00,08:38:00,17:12:00,October 2025,October,2025
2025-10-08 00:00:00,Wednesday,08:22:00,17:13:00,08:10:00,17:12:00,08:42:00,17:12:00,October 2025,October,2025
2025-10-09 00:00:00,Thursday,08:23:00,17:05:00,08:10:00,17:08:00,08:41:00,17:09:00,October 2025,October,2025
2025-10-10 00:00:00,Friday,08:43:00,17:09:00,,,08:41:00,17:11:00,October 2025,October,2025
2025-10-11 00:00:00,Saturday,,,08:16:00,17:15:00,08:36:00,17:15:00,October 2025,October,2025
2025-10-12 00:00:00,Sunday,,,,,,,October 2025,October,2025
2025-10-13 00:00:00,Monday,08:35:00,17:15:00,08:14:00,17:11:00,08:58:00,17:11:00,October 2025,October,2025
2025-10-14 00:00:00,Tuesday,08:32:00,17:13:00,08:13:00,17:13:00,08:23:00,17:13:00,October 2025,October,2025
2025-10-15 00:00:00,Wednesday,08:27:00,17:15:00,08:12:00,17:12:00,08:28:00,17:13:00,October 2025,October,2025
2025-10-16 00:00:00,Thursday,08:23:00,17:16:00,08:08:00,17:19:00,08:33:00,17:15:00,October 2025,October,2025
2025-10-17 00:00:00,Friday,08:36:00,17:20:00,08:05:00,17:20:00,08:30:00,17:19:00,October 2025,October,2025
2025-10-18 00:00:00,Saturday,08:55:00,17:09:00,08:08:00,17:54:00,08:39:00,17:11:00,October 2025,October,2025
2025-10-19 00:00:00,Sunday,,,,,,,October 2025,October,2025
2025-10-20 00:00:00,Monday,,,08:14:00,17:22:00,08:30:00,17:21:00,October 2025,October,2025
2025-10-21 00:00:00,Tuesday,08:38:00,19:02:00,08:14:00,19:08:00,08:35:00,19:08:00,October 2025,October,2025
2025-10-22 00:00:00,Wednesday,08:25:00,18:35:00,08:05:00,18:06:00,08:23:00,17:50:00,October 2025,October,2025
2025-10-23 00:00:00,Thursday,08:27:00,17:06:00,08:13:00,17:08:00,08:32:00,17:06:00,October 2025,October,2025
2025-10-24 00:00:00,Friday,08:39:00,17:11:00,08:06:00,17:09:00,08:28:00,17:09:00,October 2025,October,2025
2025-10-25 00:00:00,Saturday,08:52:00,17:09:00,08:13:00,17:09:00,08:31:00,17:10:00,October 2025,October,2025
2025-10-26 00:00:00,Sunday,,,,,,,October 2025,October,2025
2025-10-27 00:00:00,Monday,08:33:00,17:28:00,08:16:00,17:04:00,08:28:00,17:03:00,October 2025,October,2025
2025-10-28 00:00:00,Tuesday,08:26:00,17:28:00,08:12:00,17:17:00,08:38:00,17:19:00,October 2025,October,2025
2025-10-29 00:00:00,Wednesday,08:36:00,17:07:00,08:06:00,17:06:00,08:35:00,17:10:00,October 2025,October,2025
2025-10-30 00:00:00,Thursday,08:29:00,17:28:00,08:06:00,17:05:00,08:29:00,17:07:00,October 2025,October,2025
2025-10-31 00:00:00,Friday,08:55:00,,08:00:00,17:27:00,08:38:00,17:26:00,October 2025,October,2025
2025-09-01 00:00:00,Monday,08:28:00,17:12:00,08:16:00,17:09:00,08:30:00,17:09:00,September 2025,September,2025
2025-09-02 00:00:00,Tuesday,08:32:00,17:14:00,08:19:00,17:06:00,08:29:00,17:06:00,September 2025,September,2025
2025-09-03 00:00:00,Wednesday,08:26:00,17:18:00,08:22:00,17:03:00,08:28:00,17:03:00,September 2025,September,2025
2025-09-04 00:00:00,Thursday,08:25:00,17:09:00,08:23:00,17:06:00,08:26:00,17:05:00,September 2025,September,2025
2025-09-05 00:00:00,Friday,08:41:00,17:13:00,08:04:00,17:15:00,08:30:00,17:14:00,September 2025,September,2025
2025-09-06 00:00:00,Saturday,,,,,,,September 2025,September,2025
2025-09-07 00:00:00,Sunday,,,,,,,September 2025,September,2025
2025-09-08 00:00:00,Monday,08:21:00,17:08:00,08:18:00,17:13:00,08:37:00,17:08:00,September 2025,September,2025
2025-09-09 00:00:00,Tuesday,08:27:00,17:15:00,08:40:00,17:12:00,08:24:00,17:12:00,September 2025,September,2025
2025-09-10 00:00:00,Wednesday,08:31:00,17:08:00,08:13:00,17:09:00,08:30:00,17:08:00,September 2025,September,2025
2025-09-11 00:00:00,Thursday,08:19:00,17:03:00,08:23:00,17:04:00,09:36:00,17:04:00,September 2025,September,2025
2025-09-12 00:00:00,Friday,08:39:00,17:17:00,08:01:00,17:09:00,08:21:00,17:10:00,September 2025,September,2025
2025-09-13 00:00:00,Saturday,09:10:00,17:06:00,08:03:00,17:02:00,,,September 2025,September,2025
2025-09-14 00:00:00,Sunday,,,,,,,September 2025,September,2025
2025-09-15 00:00:00,Monday,09:22:00,17:15:00,08:22:00,17:11:00,08:31:00,17:11:00,September 2025,September,2025
2025-09-16 00:00:00,Tuesday,08:31:00,17:06:00,08:10:00,17:07:00,08:30:00,17:07:00,September 2025,September,2025
2025-09-17 00:00:00,Wednesday,08:27:00,17:13:00,08:15:00,17:20:00,08:39:00,17:13:00,September 2025,September,2025
2025-09-18 00:00:00,Thursday,,,08:16:00,17:05:00,08:33:00,17:05:00,September 2025,September,2025
2025-09-19 00:00:00,Friday,08:43:00,17:12:00,07:59:00,17:08:00,08:27:00,17:07:00,September 2025,September,2025
2025-09-20 00:00:00,Saturday,09:37:00,17:01:00,08:06:00,17:01:00,08:23:00,17:01:00,September 2025,September,2025
2025-09-21 00:00:00,Sunday,,,,,,,September 2025,September,2025
2025-09-22 00:00:00,Monday,10:14:00,17:29:00,09:25:00,17:17:00,08:45:00,17:17:00,September 2025,September,2025
2025-09-23 00:00:00,Tuesday,08:28:00,17:06:00,08:10:00,17:12:00,08:42:00,13:40:00,September 2025,September,2025
2025-09-24 00:00:00,Wednesday,08:26:00,17:09:00,08:07:00,17:06:00,,,September 2025,September,2025
2025-09-25 00:00:00,Thursday,08:28:00,17:15:00,08:11:00,17:15:00,09:04:00,17:15:00,September 2025,September,2025
2025-09-26 00:00:00,Friday,08:38:00,17:22:00,08:01:00,17:12:00,08:33:00,17:13:00,September 2025,September,2025
2025-09-27 00:00:00,Saturday,08:56:00,17:07:00,08:08:00,17:01:00,08:45:00,17:20:00,September 2025,September,2025
2025-09-28 00:00:00,Sunday,,,,,,,September 2025,September,2025
2025-09-29 00:00:00,Monday,08:14:00,17:12:00,08:19:00,17:14:00,08:48:00,17:15:00,September 2025,September,2025
2025-09-30 00:00:00,Tuesday,08:32:00,16:59:00,08:09:00,17:04:00,08:33:00,17:04:00,September 2025,September,2025
2025-08-01 00:00:00,Friday,08:30:00,17:15:00,08:17:00,17:10:00,08:30:00,17:00:00,August 2025,August,2025
2025-08-02 00:00:00,Saturday,08:30:00,17:15:00,08:20:00,17:07:00,08:30:00,17:00:00,August 2025,August,2025
2025-08-03 00:00:00,Sunday,,,,,,,August 2025,August,2025
2025-08-04 00:00:00,Monday,08:30:00,17:06:00,08:15:00,17:06:00,08:30:00,17:06:00,August 2025,August,2025
2025-08-05 00:00:00,Tuesday,,,,,,,August 2025,August,2025
2025-08-06 00:00:00,Wednesday,08:37:00,17:08:00,08:15:00,17:08:00,08:22:00,17:07:00,August 2025,August,2025
2025-08-07 00:00:00,Thursday,08:33:00,17:14:00,08:13:00,17:14:00,08:31:00,17:15:00,August 2025,August,2025
2025-08-08 00:00:00,Friday,08:38:00,17:07:00,08:26:00,17:08:00,08:31:00,17:08:00,August 2025,August,2025
2025-08-09 00:00:00,Saturday,09:14:00,17:18:00,08:35:00,17:18:00,08:29:00,17:19:00,August 2025,August,2025
2025-08-10 00:00:00,Sunday,,,,,,,August 2025,August,2025
2025-08-11 00:00:00,Monday,08:38:00,17:10:00,08:20:00,17:11:00,08:32:00,17:11:00,August 2025,August,2025
2025-08-12 00:00:00,Tuesday,08:38:00,17:15:00,08:15:00,17:14:00,08:19:00,17:29:00,August 2025,August,2025
2025-08-13 00:00:00,Wednesday,08:50:00,17:14:00,08:13:00,17:14:00,08:27:00,17:15:00,August 2025,August,2025
2025-08-14 00:00:00,Thursday,08:39:00,17:16:00,08:10:00,17:12:00,08:23:00,17:13:00,August 2025,August,2025
2025-08-15 00:00:00,Friday,,,07:59:00,17:02:00,08:27:00,17:01:00,August 2025,August,2025
2025-08-16 00:00:00,Saturday,,,,,,,August 2025,August,2025
2025-08-17 00:00:00,Sunday,,,,,,,August 2025,August,2025
2025-08-18 00:00:00,Monday,08:43:00,17:14:00,08:18:00,17:13:00,08:28:00,17:18:00,August 2025,August,2025
2025-08-19 00:00:00,Tuesday,08:35:00,17:13:00,08:21:00,17:15:00,08:29:00,17:18:00,August 2025,August,2025
2025-08-20 00:00:00,Wednesday,08:26:00,17:13:00,08:19:00,17:12:00,08:27:00,17:12:00,August 2025,August,2025
2025-08-21 00:00:00,Thursday,08:25:00,17:22:00,08:24:00,17:17:00,08:29:00,17:18:00,August 2025,August,2025
2025-08-22 00:00:00,Friday,08:41:00,17:16:00,08:02:00,17:15:00,08:24:00,17:18:00,August 2025,August,2025
2025-08-23 00:00:00,Saturday,08:56:00,17:16:00,08:09:00,17:02:00,08:14:00,17:00:00,August 2025,August,2025
2025-08-24 00:00:00,Sunday,,,,,,,August 2025,August,2025
2025-08-25 00:00:00,Monday,08:26:00,17:13:00,08:15:00,17:13:00,08:30:00,17:14:00,August 2025,August,2025
2025-08-26 00:00:00,Tuesday,08:26:00,17:06:00,08:23:00,17:05:00,08:34:00,17:04:00,August 2025,August,2025
2025-08-27 00:00:00,Wednesday,08:27:00,17:12:00,08:21:00,17:13:00,08:28:00,17:14:00,August 2025,August,2025
2025-08-28 00:00:00,Thursday,08:30:00,17:17:00,08:14:00,17:44:00,08:32:00,17:40:00,August 2025,August,2025
2025-08-29 00:00:00,Friday,08:38:00,17:02:00,07:57:00,17:09:00,08:29:00,17:09:00,August 2025,August,2025
2025-08-30 00:00:00,Saturday,08:56:00,17:11:00,07:46:00,17:04:00,08:35:00,17:05:00,August 2025,August,2025
2025-08-31 00:00:00,Sunday,,,,,,,August 2025,August,2025
